1.00	1.00000
1.01	0.99433
1.02	0.98884
1.03	0.98355
1.04	0.97844
1.05	0.97350
1.06	0.96874
1.07	0.96415
1.08	0.95973
1.09	0.95546
1.10	0.95135
1.11	0.94739
1.12	0.94359
1.13	0.93993
1.14	0.93642
1.15	0.93304
1.16	0.92980
1.17	0.92670
1.18	0.92373
1.19	0.92088
1.20	0.91817
1.21	0.91558
1.22	0.91311
1.23	0.91075
1.24	0.90852
1.25	0.90640
1.26	0.90440
1.27	0.90250
1.28	0.90072
1.29	0.89904
1.30	0.89747
1.31	0.89600
1.32	0.89464
1.33	0.89338
1.34	0.89222
1.35	0.89115
1.36	0.89018
1.37	0.88931
1.38	0.88854
1.39	0.88785
1.40	0.88726
1.41	0.88676
1.42	0.88636
1.43	0.88604
1.44	0.88580
1.45	0.88565
1.46	0.88560
1.47	0.88563
1.48	0.88575
1.49	0.88595
1.50	0.88623
1.51	0.88659
1.52	0.88704
1.53	0.88757
1.54	0.88818
1.55	0.88887
1.56	0.88964
1.57	0.89049
1.58	0.89142
1.59	0.89243
1.60	0.89352
1.61	0.89468
1.62	0.89592
1.63	0.89724
1.64	0.89864
1.65	0.90012
1.66	0.90167
1.67	0.90330
1.68	0.90500
1.69	0.90678
1.70	0.90864
1.71	0.91057
1.72	0.91258
1.73	0.91466
1.74	0.91683
1.75	0.91906
1.76	0.92137
1.77	0.92376
1.78	0.92623
1.79	0.92877
1.80	0.93138
1.81	0.93408
1.82	0.93685
1.83	0.93969
1.84	0.94261
1.85	0.94561
1.86	0.94869
1.87	0.95184
1.88	0.95507
1.89	0.95838
1.90	0.96177
1.91	0.96523
1.92	0.96878
1.93	0.97240
1.94	0.97610
1.95	0.97988
1.96	0.98374
1.97	0.98768
1.98	0.99171
1.99	0.99581
2.00	1.00000
